Gyroscope units in bits, since it’s ±250deg/s with a 16bit ADC the units are 65556/500 giving ~131bit per deg/s, i.e. 1deg/s=131bit
Sampling frequency = 200 hz
x_axis y-axis  z-axis
0	85	-13
7	102	-7
4	89	-13
6	89	-11
4	70	-1
6	80	11
-2	85	-5
4	86	-26
19	95	-3
-13	69	-20
15	66	7
8	82	-19
-5	59	2
10	88	-10
0	85	-12
9	71	-14
2	92	-30
16	68	8
15	73	-5
3	75	-17
21	99	1
-12	81	-14
-9	82	-12
9	73	-3
-15	67	-2
4	59	0
6	81	1
9	78	-19
3	87	10
11	67	-13
2	87	-9
-19	79	-3
3	87	-8
19	89	2
5	72	-14
-1	81	-16
16	92	-15
-20	75	-17
21	85	5
4	88	4
2	94	-2
12	93	-4
-11	85	-4
-1	97	-19
-1	56	-5
13	98	-9
8	64	-26
-1	95	-7
10	85	3
8	65	-2
0	51	-20
11	72	-4
3	85	-7
-5	83	-15
4	63	-6
5	92	-18
11	101	15
8	70	-30
-1	82	-13
14	67	1
11	97	-1
8	62	-10
-7	92	0
-15	79	-8
5	73	-11
11	82	-9
-8	75	-8
6	91	0
19	86	-1
8	102	2
5	60	-13
6	75	9
16	70	7
0	98	-11
-12	64	-11
-1	74	-9
0	72	-6
-1	94	-23
13	79	-5
14	83	-13
-14	84	-8
9	81	-11
19	82	-16
3	71	-8
-3	69	-4
8	67	-24
5	61	8
-5	61	-11
-1	82	3
2	99	-2
-6	79	-13
-8	95	-6
25	91	-17
16	62	-16
-8	95	-9
0	94	-1
7	79	-14
16	73	3
-7	83	5
13	68	-13
10	85	-15
-17	91	-19
7	89	-12
5	79	5
5	80	-10
12	75	-8
8	60	-17
-9	90	-25
14	81	2
3	77	16
3	75	-3
8	93	-3
4	84	4
-7	86	-33
2	78	-3
14	72	-10
12	75	3
10	83	-29
2	60	-12
4	95	6
-2	85	-13
16	84	-7
6	101	-29
10	49	-3
-15	79	-9
9	61	-12
3	79	-12
0	81	-9
18	76	-10
1	80	-7
-1	69	-1
3	88	-18
-13	74	0
8	75	-1
24	65	-11
21	69	-15
9	99	-10
11	62	-4
12	88	-19
9	102	-29
-11	86	-15
7	83	-9
-9	55	-9
14	95	-15
12	68	-5
3	73	4
1	72	-25
-22	69	3
6	86	-7
-2	88	-20
-1	86	-1
21	80	-7
-4	66	-31
5	80	-13
