26	74	-10
5	62	8
7	69	-10
16	80	-14
11	55	-6
27	100	1
23	78	2
1	75	-12
14	78	-8
31	69	-2
4	76	5
23	74	9
11	106	-17
7	86	5
8	86	-4
31	70	-4
12	69	-1
31	57	-14
14	89	-24
6	77	8
12	87	-1
12	62	-11
15	96	8
24	71	-16
14	81	-11
3	84	-16
28	74	3
23	67	-3
1	79	-24
12	81	-15
29	76	13
13	91	-10
15	73	4
6	92	-1
10	75	-6
21	76	-2
-9	76	0
24	88	-25
27	64	-8
10	89	-11
0	77	-18
-2	76	2
6	91	0
5	90	-4
9	63	19
16	73	-7
14	76	-6
8	77	-16
11	80	20
15	82	-14
22	62	-10
11	75	8
11	90	-13
8	83	8
19	80	2
16	57	-19
23	81	-25
11	82	4
17	61	-13
8	63	4
28	83	-14
20	92	-11
8	61	-14
17	71	-1
27	67	0
-9	90	-25
18	77	12
10	76	-15
11	70	-7
11	94	1
18	78	7
20	96	-15
30	75	6
5	75	-1
15	88	-8
12	68	-29
-17	86	-14
24	94	2
6	62	-4
6	73	-15
29	71	0
25	66	-18
8	84	-17
6	85	-8
11	80	-11
26	89	-9
22	53	-14
24	96	16
11	69	5
12	69	-29
13	78	-5
12	70	3
2	81	9
1	71	5
21	91	5
12	74	0
19	98	-1
19	57	-8
-9	88	4
0	85	-13
20	83	-11
2	82	8
19	76	11
25	81	-1
10	97	-12
2	64	-10
27	78	-7
1	88	19
16	86	-7
8	79	12
20	86	-18
11	75	-11
10	84	-8
25	71	-10
17	75	-13
9	93	12
-1	45	-11
9	70	-12
21	87	2
13	86	-21
3	80	-4
20	90	-5
1	92	-16
16	72	-1
23	71	-16
14	83	1
25	65	-6
8	72	-18
9	83	-13
20	82	-1
21	103	-15
23	65	-23
23	76	14
33	86	-10
8	70	-8
17	68	-2
31	94	-6
13	78	-2
-2	76	-12
19	72	21
18	71	3
18	81	11
20	86	12
4	86	6
-5	76	-4
28	60	-4
22	110	18
2	97	-6
17	88	3
32	70	-8
27	76	-22
0	94	-2
3	70	2
15	80	-2
17	88	-9
23	52	-13
27	76	-9
15	69	1
3	78	2
11	76	-8
26	81	-14
15	71	3
13	81	-16
22	72	4
18	80	-1
18	85	-9
17	60	-12
28	84	3
6	75	0
33	75	10
19	55	-13
10	83	-4
24	80	11
24	75	-12
-4	63	-7
13	87	-24
13	58	-7
-3	66	-16
2	70	0
24	97	-24
11	69	5
10	75	-6
16	54	-2
9	75	-3
15	87	-3
25	86	1
7	67	15
16	96	-2
17	77	-15
1	87	16
22	65	5
15	84	-4
20	70	-2
30	80	-2
23	88	-8
26	63	-15
14	69	-5
17	89	-6
26	67	-2
-5	76	-16
24	84	17
8	63	-14
-5	75	-4
12	77	5
-3	77	-27
17	66	-3
-8	90	-10
23	84	0
7	79	-17
20	98	-8
29	80	-10
25	86	-5
10	87	-4
12	92	4
4	72	-9
21	78	10
11	81	-4
18	86	-22
12	78	13
18	83	-22
18	80	2
15	84	-13
22	81	-6
27	91	-2
16	63	3
6	97	-15
20	73	5
21	69	5
8	91	-5
22	78	-4
-1	85	-9
21	84	3
17	56	-5
-3	86	12
20	86	-20
7	84	-4
32	81	-11
-11	70	-10
26	84	-10
9	65	-15
4	72	2
8	70	-7
15	74	-8
10	75	6
29	75	-9
3	101	-8
15	90	3
8	68	-19
18	67	-13
22	67	3
35	83	7
-1	91	-7
23	74	-5
11	71	-1
14	80	6
0	69	-4
23	79	-12
-4	63	-19
32	89	-3
17	78	-32
28	66	-2
20	70	18
14	78	-12
27	76	-11
7	80	-9
33	88	-8
20	81	-26
3	73	-9
26	97	-11
14	76	10
5	83	-13
12	73	6
1	71	6
17	83	-1
9	55	3
7	64	5
21	89	-24
7	78	-30
17	75	-15
14	81	-11
13	83	10
9	78	2
19	67	1
26	66	9
35	68	1
15	71	8
5	83	-12
10	95	-18
21	63	-8
4	84	-1
8	72	1
-9	72	13
23	66	-18
16	73	14
3	78	6
-5	79	-16
0	69	-5
9	67	1
13	70	9
12	76	-5
14	77	3
17	78	-6
21	80	-12
8	72	-11
12	82	-10
11	56	-13
-5	82	9
17	56	-18
4	70	-10
28	67	-10
5	89	3
26	83	-31
6	69	-13
17	79	-12
-3	55	-7
6	98	-1
22	63	4
-2	78	-3
17	79	-11
1	90	-7
0	74	-9
22	99	-19
2	89	4
9	58	-9
8	72	-13
15	83	-10
2	84	-1
1	93	-17
31	98	6
16	74	-10
33	96	-19
24	85	11
20	51	-15
10	76	7
2	52	21
13	79	6
26	69	-4
25	82	1
5	81	1
19	75	17
4	70	-5
16	64	-8
17	81	-3
21	78	-6
3	79	-17
25	69	-1
2	72	-6
16	86	-3
16	81	-15
16	61	-2
8	72	-10
20	76	8
15	75	-23
20	93	8
13	75	-2
11	94	2
10	63	-14
14	64	-6
17	71	-15
13	68	-7
25	83	-16
9	75	-4
12	76	-18
17	97	-6
19	75	-10
8	92	-4
24	56	-3
18	85	-8
15	56	-3
-2	65	2
17	61	-18
12	74	9
24	76	2
10	96	-14
28	65	-14
2	68	7
14	79	-22
13	87	-11
10	69	3
7	80	-22
22	74	-12
-2	61	15
2	79	-11
18	55	-3
14	74	2
18	82	0
9	67	1
9	71	7
29	86	-13
17	77	1
20	92	1
2	59	-16
11	68	-15
23	74	-3
5	80	-6
21	108	-3
24	82	9
15	68	-4
25	89	-1
3	62	-19
25	89	4
37	70	-6
-5	55	-6
-3	78	-12
31	74	-13
14	79	0
21	79	7
4	82	-23
9	73	12
24	79	-4
14	83	-4
-3	91	-11
23	78	-26
26	79	7
21	76	-2
18	69	-1
13	85	-13
9	72	-7
11	80	1
16	94	-12
8	67	-12
34	66	-18
9	68	-11
15	64	1
-2	88	1
27	81	-13
15	86	-1
27	54	-25
-1	79	-4
10	63	-8
5	76	-1
34	90	-12
17	89	-19
25	70	-18
20	89	-4
20	74	-21
15	74	-3
18	78	-19
1	67	-2
0	58	18
14	74	6
6	80	18
-9	68	2
19	98	-1
2	81	7
8	84	-9
27	69	-13
10	83	7
32	89	-10
14	58	-1
22	94	-2
23	73	-11
-7	77	-7
20	100	-7
11	75	-2
9	74	0
-8	75	6
24	69	-17
12	65	-12
10	77	-4
13	69	-23
1	85	8
16	80	-3
7	82	-9
24	66	-21
25	69	1
17	98	-1
15	67	3
23	75	-7
23	63	-1
16	62	7
26	73	12
28	80	8
