-104	304	19712
-36	228	19728
-72	260	19896
44	280	19640
12	208	19808
48	300	19828
-60	216	19936
-16	224	19876
12	220	19904
-176	180	19764
-152	256	19684
-72	368	19872
-48	316	19724
-64	328	19744
96	292	19752
-4	304	19912
-32	296	19928
-88	272	19876
-20	292	19916
-76	324	19748
4	272	19876
32	264	19812
-80	296	19784
-60	264	19708
-88	312	19868
-80	320	19880
-152	312	19876
-52	368	19676
-112	228	19968
-124	212	19896
32	268	19716
-28	264	19740
-228	264	19732
-176	212	19808
-28	224	19744
-52	316	19840
-172	252	19812
-72	280	19844
-88	328	19776
36	256	19756
-92	292	19728
116	224	19712
4	316	19844
-24	280	19764
-28	292	19908
-120	320	19876
64	276	19880
-4	292	19664
-44	204	19800
16	308	19792
-72	272	19840
-4	220	19776
-124	260	19952
-96	340	19876
-24	260	19656
-84	284	19792
-120	172	19824
-132	292	19944
8	312	19992
-96	208	19812
4	304	19900
-28	244	19868
28	208	19680
-60	264	19860
-24	208	19872
-116	240	19716
-80	300	19856
-36	276	19888
-68	280	19864
-20	288	19796
-12	332	19832
48	300	19920
-28	232	19812
-44	316	19732
20	280	19848
-60	212	19724
-104	216	19852
-148	300	19924
-148	348	19812
-60	268	19916
-48	184	19732
-72	244	19808
-52	228	19856
-4	240	19820
-84	240	19708
28	364	19872
-144	284	19744
-64	312	19904
-108	332	19892
-20	296	19860
-116	264	19804
-32	284	19796
-80	264	19908
-72	288	19756
-60	216	19724
-48	316	19940
-40	188	19692
0	304	19836
-80	224	19816
48	184	19700
4	288	19884
-64	352	19840
-104	224	19792
-128	312	19812
-28	260	19864
-48	216	19836
-4	240	19856
-68	328	19712
-64	340	19692
-64	384	19776
-72	308	19832
-16	260	19792
-24	236	19912
28	340	19888
-84	256	19816
24	284	19736
-88	208	19776
16	268	19836
-52	228	19760
-48	284	19752
-52	308	19864
-28	336	19864
8	224	19544
24	408	19868
76	240	19676
-12	272	19700
-176	228	19792
-44	204	19812
-32	192	19664
36	252	19832
-68	340	19716
-56	192	19716
-60	260	19684
-76	428	19872
-52	256	19812
-40	248	19764
-8	312	19860
-28	384	19828
-72	228	19928
-32	348	19828
-56	288	19772
-4	288	19652
-60	192	19884
-8	204	19780
-8	300	19876
-32	224	19692
36	280	19800
-32	216	19988
-8	260	19792
32	360	19904
24	264	19796
-120	240	19836
-32	260	19756
-52	268	19916
8	216	19836
0	292	19884
36	324	19784
-128	248	19852
-164	236	19916
28	308	19800
-44	212	19808
-80	196	19648
-148	172	19936
-132	264	20008
-36	284	19756
-48	304	19880
-116	288	19688
28	208	19776
84	288	19828
-72	312	19776
16	232	19928
-44	280	19728
-84	352	19680
-132	272	19936
-76	324	19756
-28	200	19756
-32	216	19808
-64	372	19796
-156	324	19876
-112	212	19776
-16	340	19828
-48	360	19856
-12	184	19872
-72	260	19864
-24	316	19844
36	292	19724
-80	220	19724
-20	344	19884
-100	308	19908
-12	176	19824
-100	276	19780
-60	244	19832
-128	216	19808
-80	304	19924
-76	216	19828
-108	308	19864
-148	304	19756
-96	316	19964
-28	284	19860
-32	296	19844
72	276	19752
-40	356	19892
0	240	19844
24	308	19756
-24	272	19776
4	288	19780
-88	292	19964
36	192	19724
-44	356	19832
8	280	19680
-80	260	19848
-72	340	19780
-48	228	19844
-84	256	19808
-68	308	19732
-116	260	19836
-52	260	19780
-56	212	19836
-76	268	19812
-128	252	19876
52	356	19824
-36	228	19844
40	308	19932
-4	336	19756
-76	332	19828
-108	356	19732
-100	292	19848
-88	264	19932
-44	244	19732
-40	260	19840
-28	316	19816
-100	268	19728
-236	292	19864
-92	260	19712
-68	304	19836
-20	276	19880
-72	312	19772
20	388	19680
-28	268	19944
-20	348	19836
-176	208	19788
56	308	19880
-80	244	19828
-28	316	19796
-64	324	19784
-68	348	19936
116	296	19852
12	264	19880
-16	244	19708
-100	304	19984
32	316	19832
-68	164	19792
-144	248	19860
40	300	19820
-88	152	19724
-188	288	19764
-44	368	19688
-116	316	19768
-100	260	19764
-32	276	19740
-52	324	19824
-84	256	19788
-88	272	19996
-44	224	19680
20	348	19844
-88	272	19896
56	296	19872
-100	220	19844
-52	176	19804
-40	176	19848
-52	276	19764
-92	312	19792
-72	172	19728
-108	288	19832
-32	296	19688
0	268	19800
-80	352	19796
-12	316	19772
28	256	19912
-64	216	19872
0	212	19844
-24	332	19776
-20	384	19796
-12	380	19908
-116	348	19828
-32	232	19788
-40	308	19788
-52	236	19796
-104	384	19840
-24	236	19748
-64	224	19804
-112	324	19812
-128	248	19780
-88	252	19832
-104	240	19856
-36	224	19832
-80	272	19708
-4	228	19716
-28	244	19740
-128	232	19876
-80	256	19904
-48	248	19696
-36	192	19732
-12	288	19784
4	252	19940
-52	248	19892
-8	252	19816
-60	312	19764
-76	300	19932
36	280	19784
0	364	19828
-52	292	19764
-140	288	19904
-112	260	19892
-136	244	19876
-120	188	19736
-56	188	19936
-88	312	19796
-88	284	19720
12	256	19800
-108	244	19808
36	276	19620
-60	284	19928
4	316	19876
-28	236	20000
-48	340	19896
32	304	19916
-12	268	19840
-36	392	19824
52	368	19728
-76	292	19972
-64	352	19800
-36	156	19836
-4	296	19716
-16	344	19772
-60	292	19756
-12	264	19760
-96	272	19796
-136	388	19920
-52	304	19760
-48	192	19724
-116	208	19928
16	256	19788
-12	260	19772
-96	276	19808
-116	200	19832
-40	180	19928
-28	252	19828
-4	332	19676
-104	248	19896
-4	360	19812
20	296	19920
