-184,		380,		19792,		18,		62,		-6
-212,		496,		19748,		29,		58,		-19
-184,		388,		19772,		20,		60,		17
-224,		496,		19776,		13,		50,		2
-236,		456,		19864,		24,		79,		-19
-172,		368,		19896,		20,		84,		-14
-204,		460,		19860,		44,		54,		-8
-252,		420,		19700,		28,		94,		1
-300,		392,		19744,		17,		62,		-5
-296,		368,		19732,		30,		61,		-1
-288,		492,		19732,		22,		68,		-2
-164,		384,		19728,		13,		83,		1
-392,		448,		19756,		24,		85,		-6
-188,		344,		19868,		27,		73,		-14
-264,		468,		19848,		13,		57,		-5
-232,		400,		19732,		35,		80,		-3
-292,		520,		19888,		23,		66,		-9
-300,		424,		19908,		13,		82,		3
-128,		372,		19864,		21,		78,		3
-244,		304,		19876,		28,		58,		-15
-272,		484,		19856,		18,		80,		-12
-212,		412,		19748,		24,		72,		-7
-252,		524,		19672,		32,		91,		5
-216,		492,		19928,		28,		75,		-15
-148,		412,		19916,		10,		77,		-6
-292,		452,		19892,		26,		83,		-16
-232,		396,		19732,		15,		82,		-19
-284,		400,		19896,		17,		78,		-13
-296,		544,		19832,		17,		59,		-19
-272,		396,		19792,		9,		92,		11
-252,		496,		19760,		14,		91,		5
-244,		460,		19684,		14,		60,		-8
-292,		468,		19768,		3,		95,		-11
-316,		404,		19880,		20,		69,		-13
-244,		512,		19800,		6,		65,		-6
-196,		372,		19804,		13,		78,		-13
-160,		416,		19788,		21,		79,		1
-328,		472,		19808,		6,		46,		1
-192,		400,		19776,		24,		50,		-10
-276,		412,		19784,		29,		97,		-2
-216,		460,		19900,		20,		48,		7
-188,		436,		19796,		25,		79,		-1
-152,		552,		19752,		28,		78,		-1
-216,		344,		19844,		18,		62,		-8
-188,		428,		19808,		8,		74,		-13
-156,		360,		19772,		26,		86,		-2
-264,		416,		19864,		11,		75,		-1
-168,		352,		19880,		9,		51,		-9
-216,		408,		19816,		45,		59,		-7
-248,		396,		19660,		29,		52,		-25
-292,		472,		19800,		15,		66,		-2
-308,		372,		19728,		26,		74,		-10
-176,		392,		19800,		24,		71,		-9
-240,		392,		19808,		18,		91,		12
-280,		396,		19848,		24,		64,		-1
-176,		400,		19836,		9,		84,		-23
-172,		408,		19704,		21,		87,		-6
-176,		348,		19780,		21,		86,		-10
-260,		512,		19908,		12,		70,		3
-232,		432,		19848,		17,		60,		-4
-236,		396,		19860,		8,		53,		-10
-268,		384,		19868,		15,		79,		-7
-336,		364,		19828,		-3,		86,		-18
-152,		464,		19752,		9,		82,		3
-276,		368,		19868,		18,		63,		-8
-272,		472,		19788,		2,		63,		1
-244,		356,		19768,		8,		60,		0
-168,		460,		19820,		28,		87,		7
-212,		480,		19924,		25,		78,		-8
