-236,		400,		19664,		-5,		85,		6
-156,		364,		19828,		-2,		82,		-4
-208,		384,		19848,		-14,		56,		25
-284,		416,		19644,		-1,		71,		34
-228,		344,		19772,		-24,		72,		-15
-252,		400,		19772,		20,		72,		16
-292,		292,		19952,		14,		78,		-8
-400,		388,		19776,		3,		99,		3
-224,		388,		19784,		-14,		77,		-1
-316,		496,		19828,		-3,		97,		-2
-264,		484,		19648,		11,		77,		1
-252,		468,		19852,		7,		68,		13
-256,		436,		19732,		-12,		92,		3
-224,		428,		19908,		0,		94,		-4
-180,		364,		19672,		13,		81,		26
-216,		424,		19840,		-3,		66,		9
-264,		452,		19744,		1,		82,		12
-252,		388,		19568,		-4,		80,		0
-172,		400,		19860,		13,		72,		-5
-340,		328,		19668,		1,		74,		5
-272,		452,		19704,		-3,		73,		16
-188,		452,		19696,		20,		77,		5
-264,		456,		19764,		4,		67,		9
-296,		420,		19788,		-8,		81,		8
-188,		424,		19780,		2,		60,		7
-168,		496,		19784,		17,		84,		-13
-268,		432,		19788,		-16,		70,		16
-280,		472,		19788,		-18,		91,		-11
-244,		292,		19776,		-3,		93,		12
-268,		464,		19792,		9,		87,		-8
-268,		428,		19824,		-17,		73,		-16
-232,		376,		19740,		8,		75,		-3
-244,		464,		19728,		8,		73,		8
-236,		416,		19784,		-16,		94,		20
-204,		420,		19580,		3,		72,		-17
-180,		368,		19948,		-13,		74,		-11
-232,		404,		19796,		4,		78,		8
-260,		484,		19788,		-21,		75,		-6
-216,		376,		19884,		9,		58,		-12
-116,		392,		19812,		2,		73,		11
-304,		332,		19636,		7,		86,		5
-256,		412,		19780,		-5,		60,		19
-284,		412,		19816,		-1,		65,		-6
-128,		368,		19672,		-12,		73,		-8
-196,		464,		19760,		-4,		67,		3
-272,		484,		19884,		6,		88,		-12
-212,		420,		19764,		-5,		69,		9
-352,		472,		19840,		7,		66,		5
-176,		484,		19880,		-9,		74,		-1
-292,		428,		19740,		13,		75,		17
-280,		452,		19812,		-5,		69,		-6
-208,		380,		19684,		13,		80,		-8
-212,		484,		19780,		-23,		67,		15
-100,		384,		19784,		3,		66,		-11
-208,		348,		19832,		0,		84,		15
-260,		360,		19704,		12,		82,		4
-212,		352,		19944,		15,		69,		-2
-168,		416,		19760,		-16,		60,		16
-196,		460,		19764,		7,		88,		14
-204,		368,		19764,		-5,		75,		14
-304,		452,		19712,		-9,		76,		8
-236,		396,		19900,		11,		77,		-5
-224,		364,		19840,		-1,		77,		8
-180,		368,		19752,		6,		73,		7
