-6,		62,		-9
8,		95,		-1
-4,		46,		-4
-5,		80,		-13
15,		81,		-30
-2,		73,		-19
5,		78,		-12
4,		71,		-2
0,		69,		8
-7,		65,		-3
14,		78,		8
-14,		79,		-22
-17,		71,		-8
19,		57,		13
0,		80,		11
14,		61,		-7
-4,		65,		-10
-12,		69,		7
6,		67,		-2
-20,		72,		-3
8,		71,		6
-21,		57,		2
1,		77,		-17
9,		80,		-10
13,		75,		0
17,		60,		-13
-8,		100,		2
2,		75,		3
0,		72,		-15
7,		62,		-10
-8,		50,		18
-4,		77,		-13
2,		85,		-15
17,		78,		5
-6,		81,		-15
8,		88,		9
5,		73,		-18
15,		89,		-5
8,		54,		2
3,		57,		-8
2,		68,		-13
-5,		77,		3
-5,		60,		3
-18,		74,		-2
9,		74,		-11
-10,		70,		0
-3,		76,		-8
14,		71,		-17
3,		77,		-20
3,		68,		-8
-1,		69,		5
0,		80,		-13
2,		85,		-20
-2,		55,		-18
-12,		100,		-22
10,		85,		-7
8,		52,		-2
14,		73,		-1
7,		89,		-8
12,		84,		12
6,		83,		-39
2,		69,		7
-14,		89,		10
-12,		84,		-2
4,		69,		3
-9,		82,		-6
-5,		60,		-12
1,		77,		-19
-8,		64,		-1
9,		55,		-9
-5,		72,		-10
13,		59,		-2
7,		74,		-15
2,		77,		2
8,		79,		-19
2,		75,		-10
-21,		73,		-11
12,		71,		-16
-5,		83,		-9
-8,		67,		-36
-1,		84,		-23
-7,		76,		5
4,		76,		-16
13,		72,		-9
-11,		64,		0
1,		88,		-7
-5,		95,		-17
18,		72,		-14
3,		63,		-7
1,		73,		-8
-5,		70,		4
0,		81,		-9
17,		49,		11
6,		76,		-16
-10,		80,		-18
-1,		63,		-13
-9,		69,		-6
-7,		92,		16
15,		62,		-9
12,		70,		-24
1,		90,		-9
7,		61,		-21
9,		85,		-28
5,		72,		-5
-13,		87,		13
-1,		75,		-9
2,		74,		-5
10,		75,		0
-12,		92,		3
20,		88,		-11
-9,		77,		-12
7,		81,		-2
-10,		74,		-2
3,		81,		11
-2,		86,		1
7,		75,		7
6,		97,		4
2,		60,		-26
-6,		72,		6
