-336,	700,	19640,	-7,	84,	-36
-380,	792,	19560,	-26,	63,	-20
-412,	684,	19856,	-11,	94,	-22
-236,	724,	19728,	7,	60,	4
-356,	736,	19596,	-2,	90,	-33
-376,	688,	19584,	-17,	77,	-7
-256,	736,	19560,	-17,	63,	-12
-300,	692,	19636,	-9,	89,	-27
-216,	684,	19680,	-9,	60,	-8
-264,	636,	19528,	-24,	86,	-20
-432,	740,	19704,	-3,	73,	-43
-320,	664,	19576,	3,	100,	-26
-388,	636,	19632,	-6,	104,	-18
-420,	736,	19580,	11,	83,	-40
-356,	660,	19592,	-5,	74,	-24
-424,	752,	19752,	-11,	62,	-29
-388,	716,	19540,	-7,	79,	-26
-356,	608,	19548,	-8,	59,	-30
-240,	756,	19648,	-18,	75,	4
-320,	684,	19672,	-18,	52,	-12
-360,	808,	19688,	-18,	43,	-14
-420,	648,	19608,	4,	61,	-15
-360,	728,	19692,	-4,	52,	-25
-256,	716,	19692,	0,	64,	-32
-388,	836,	19680,	-9,	98,	-15
-388,	748,	19612,	-8,	62,	-19
-252,	704,	19720,	-18,	65,	-34
-352,	740,	19644,	-18,	86,	0
-240,	672,	19596,	-21,	69,	-8
-292,	728,	19772,	-19,	81,	-43
-320,	768,	19696,	-16,	71,	-30
-352,	760,	19736,	-14,	70,	-16
-324,	804,	19700,	2,	62,	-13
-372,	736,	19740,	8,	64,	1
-320,	724,	19628,	-12,	83,	-22
-404,	704,	19652,	-17,	69,	-30
-304,	716,	19644,	-1,	92,	-36
-292,	748,	19712,	-1,	55,	-35
-280,	756,	19632,	-12,	64,	-26
-304,	736,	19652,	-3,	75,	-11
-452,	672,	19788,	-4,	55,	-14
-256,	684,	19576,	4,	66,	-11
-408,	688,	19672,	-6,	81,	-14
-316,	740,	19572,	9,	52,	-43
-356,	744,	19728,	12,	68,	-17
-304,	640,	19636,	7,	73,	-15
-348,	636,	19700,	-17,	101,	-14
-312,	624,	19568,	-14,	65,	-21
-384,	756,	19768,	-11,	75,	1
-52,	640,	19612,	6,	58,	-54
-320,	660,	19744,	-23,	69,	34
-464,	752,	19536,	-9,	76,	-19
-132,	572,	19548,	11,	76,	-13
-232,	740,	19568,	-8,	77,	-18
-332,	736,	19608,	-10,	80,	-33
-324,	788,	19660,	0,	74,	-13
-468,	848,	19628,	-17,	90,	-44
-352,	740,	19588,	2,	64,	-13
-364,	812,	19708,	0,	70,	-25
-468,	816,	19800,	-8,	73,	-37
-364,	764,	19812,	0,	79,	-42
-348,	748,	19548,	2,	74,	-15
-92,	636,	19760,	-13,	67,	-15
-476,	800,	19588,	-14,	81,	-29
-200,	644,	19684,	-32,	91,	-11
-592,	880,	19656,	1,	48,	-3
-428,	756,	19588,	3,	71,	-4
-368,	708,	19604,	-16,	52,	-29
-320,	684,	19620,	11,	65,	1
-252,	612,	19252,	4,	75,	-16
-484,	840,	19560,	-9,	85,	-19
-576,	732,	19792,	-10,	71,	-38
-312,	680,	19688,	-17,	93,	-13
-348,	784,	19724,	-25,	81,	3
-212,	716,	19668,	-3,	91,	-37
-440,	700,	19604,	-3,	49,	-34
-308,	788,	19748,	-15,	80,	-15
-340,	708,	19624,	-15,	84,	-27
-204,	672,	19540,	-14,	72,	-24
-428,	836,	19908,	-2,	55,	-20
-380,	832,	19624,	4,	83,	-13
-264,	696,	19700,	1,	65,	-24
-408,	660,	19732,	-19,	73,	-5
-244,	688,	19612,	-24,	95,	-17
-444,	860,	19724,	-5,	94,	-24
-360,	800,	19744,	-19,	69,	-21
