99,		-84,		400,		19656,		5,		78,		-13
99,		-188,		332,		19624,		10,		90,		-21
99,		-148,		436,		19536,		14,		83,		-24
99,		-120,		452,		19528,		5,		72,		3
99,		-48,		412,		19616,		1,		77,		-16
99,		-108,		316,		19596,		4,		89,		5
99,		-56,		332,		19616,		-7,		91,		1
99,		-144,		336,		19696,		-5,		67,		-2
99,		-76,		388,		19644,		7,		84,		-22
99,		-80,		284,		19648,		1,		80,		-5
99,		-212,		476,		19592,		-5,		86,		-15
99,		-172,		480,		19592,		0,		84,		-4
99,		-84,		424,		19708,		13,		84,		1
99,		-84,		444,		19676,		3,		83,		-19
99,		-224,		476,		19704,		0,		82,		-11
99,		-80,		496,		19636,		4,		97,		-15
99,		-36,		404,		19592,		14,		86,		-5
99,		-120,		464,		19680,		3,		74,		-6
99,		-120,		376,		19488,		8,		95,		-10
99,		-160,		260,		19504,		9,		84,		-20
99,		-72,		436,		19592,		-3,		76,		-16
99,		-60,		412,		19504,		17,		60,		-1
99,		-152,		460,		19604,		5,		59,		-18
99,		-144,		432,		19712,		11,		66,		-13
99,		-188,		356,		19484,		11,		77,		0
99,		-112,		396,		19608,		-13,		80,		-6
99,		-144,		440,		19652,		23,		65,		-22
99,		-104,		388,		19552,		17,		75,		-12
99,		-196,		444,		19592,		1,		86,		5
99,		-92,		456,		19568,		16,		58,		-18
99,		-144,		488,		19712,		6,		79,		-26
99,		-176,		468,		19572,		-13,		86,		-6
99,		-100,		424,		19700,		20,		78,		-1
99,		-108,		372,		19568,		8,		80,		-18
99,		-60,		348,		19704,		10,		74,		-24
99,		-48,		464,		19640,		12,		74,		-26
99,		-148,		376,		19572,		18,		69,		1
99,		-140,		448,		19788,		4,		101,		-10
99,		-196,		452,		19668,		31,		95,		-2
99,		-68,		384,		19472,		29,		84,		-24
99,		-120,		472,		19724,		4,		60,		-21
99,		-80,		380,		19764,		8,		84,		-15
99,		-112,		396,		19608,		13,		81,		-6
99,		-144,		400,		19728,		7,		90,		-7
99,		-252,		428,		19676,		5,		87,		-18
99,		-100,		396,		19636,		7,		88,		2
99,		-124,		400,		19624,		11,		92,		-4
